filter completed in 16.119680404663086 s
filter completed in 16.72810435295105 s
IMAGE COMPLETED: 1 of 2
filter completed in 35.63704514503479 s
filter completed in 36.4747998714447 s
IMAGE COMPLETED: 2 of 2
         56298822 function calls (56230494 primitive calls) in 117.719 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    23568    0.026    0.000    0.027    0.000 {built-in method builtins.setattr}
    48717    0.025    0.000    0.025    0.000 {method 'lstrip' of 'str' objects}
    15988    0.024    0.000    0.037    0.000 inspect.py:504(_is_wrapper)
   3297/3    0.024    0.000    6.348    2.116 <frozen importlib._bootstrap>:663(_load_unlocked)
    18884    0.024    0.000    0.026    0.000 {built-in method _abc._abc_instancecheck}
     5443    0.024    0.000    0.042    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
    31248    0.024    0.000    0.024    0.000 sre_parse.py:233(__next)
        1    0.023    0.023    0.023    0.023 {built-in method mkl._py_mkl_service.get_version}
     2302    0.023    0.000    0.053    0.000 version.py:198(__init__)
      784    0.023    0.000   92.014    0.117 execute.py:40(execute)
        7    0.023    0.003    0.023    0.003 {built-in method posix.read}
    30026    0.022    0.000    0.022    0.000 {method 'rpartition' of 'str' objects}
   3448/3    0.022    0.000    6.349    2.116 <frozen importlib._bootstrap>:948(_find_and_load_unlocked)
     1656    0.022    0.000    0.022    0.000 {method 'reduce' of 'numpy.ufunc' objects}
    10197    0.021    0.000    0.034    0.000 __init__.py:1368(info)
      784    0.021    0.000    0.088    0.000 assemble.py:166(_parse_common_args)
      784    0.021    0.000    0.149    0.000 transpile.py:310(_parse_transpile_args)
    12544    0.021    0.000    0.021    0.000 {method 'item' of 'numpy.generic' objects}
    12544    0.020    0.000    0.020    0.000 {built-in method builtins.format}
    25988    0.020    0.000    0.020    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
3371/3370    0.020    0.000    0.525    0.000 <frozen importlib._bootstrap_external>:1240(_get_spec)
     7840    0.020    0.000    0.056    0.000 utils.py:213(get_value)
     1667    0.020    0.000    0.020    0.000 {method 'sub' of 're.Pattern' objects}
     7840    0.020    0.000    0.095    0.000 fields.py:209(get_value)
    28348    0.020    0.000    0.020    0.000 {built-in method builtins.callable}
     2352    0.019    0.000    0.042    0.000 result.py:247(_get_experiment)
    18768    0.019    0.000    0.019    0.000 {method 'values' of 'mappingproxy' objects}
      784    0.019    0.000   80.413    0.103 transpile.py:42(transpile)
     4738    0.019    0.000    0.035    0.000 posixpath.py:75(join)
    14194    0.019    0.000    0.289    0.000 <frozen importlib._bootstrap_external>:74(_path_stat)
     7056    0.019    0.000    0.038    0.000 runningpassmanager.py:305(__iter__)
     1611    0.018    0.000    0.026    0.000 uuid.py:121(__init__)
     7840    0.018    0.000    0.030    0.000 utils.py:239(_get_value_for_key)
    30192    0.018    0.000    0.018    0.000 assumptions.py:252(as_property)
      784    0.017    0.000    0.138    0.000 initializer.py:44(__init__)
     2359    0.017    0.000    0.197    0.000 blocks.py:2975(get_block_type)
     1067    0.017    0.000    0.087    0.000 inspect.py:1089(getfullargspec)
      784    0.017    0.000   80.122    0.102 transpile.py:255(_transpile_circuit)
    10976    0.017    0.000    0.029    0.000 basepasses.py:90(is_analysis_pass)
      784    0.017    0.000    0.290    0.000 postprocess.py:157(format_counts)
     1901    0.017    0.000    0.033    0.000 functools.py:37(update_wrapper)
      312    0.017    0.000    0.042    0.000 __init__.py:316(namedtuple)
      784    0.017    0.000   11.322    0.014 assemble_circuits.py:113(assemble_circuits)
     7411    0.016    0.000    0.027    0.000 conflict.py:7(supercedes)
        1    0.016    0.016    0.058    0.058 facts.py:76(transitive_closure)
     1568    0.016    0.000   91.426    0.058 parallel.py:72(parallel_map)
     1568    0.016    0.000    0.016    0.000 {method 'nodes' of 'retworkx.PyDAG' objects}
     5443    0.016    0.000    0.019    0.000 <frozen importlib._bootstrap>:78(acquire)
     3065    0.016    0.000    0.447    0.000 <frozen importlib._bootstrap_external>:523(_compile_bytecode)
     9377    0.016    0.000    0.037    0.000 typing.py:704(__setattr__)
   3071/7    0.015    0.000    0.096    0.014 validators.py:296(iter_errors)
1571/1570    0.015    0.000    0.212    0.000 series.py:183(__init__)
     3920    0.015    0.000    0.174    0.000 schema.py:1057(_invoke_dump_processors)
2640/2632    0.015    0.000    0.015    0.000 {built-in method builtins.repr}
     3503    0.015    0.000    0.022    0.000 <frozen importlib._bootstrap_external>:574(spec_from_file_location)
    15680    0.015    0.000    0.015    0.000 basepasses.py:60(__hash__)
     5443    0.015    0.000    0.018    0.000 <frozen importlib._bootstrap>:103(release)
    14896    0.014    0.000    0.014    0.000 inspect.py:2609(__init__)
     1207    0.014    0.000    0.024    0.000 sre_compile.py:276(_optimize_charset)
      784    0.014    0.000   11.461    0.015 assemble.py:43(assemble)
     3920    0.014    0.000    2.025    0.001 retworkx_dagcircuit.py:102(topological_nodes)
     9184    0.014    0.000    0.014    0.000 {method 'splitlines' of 'str' objects}
      784    0.014    0.000    0.166    0.000 dagcircuit.py:182(add_qreg)
      784    0.014    0.000    0.752    0.001 result.py:160(get_counts)
        3    0.014    0.005    0.014    0.005 {built-in method posix.waitpid}
     1571    0.014    0.000    0.160    0.000 construction.py:388(sanitize_array)
       45    0.014    0.000    0.014    0.000 {method 'read' of '_io.TextIOWrapper' objects}
3136/2352    0.014    0.000    0.025    0.000 runningpassmanager.py:259(controller_factory)
     7842    0.014    0.000    0.023    0.000 managers.py:1548(dtype)
   3065/3    0.014    0.000    6.348    2.116 <frozen importlib._bootstrap_external>:722(exec_module)
    19062    0.013    0.000    0.013    0.000 inspect.py:2835(parameters)
     1568    0.013    0.000    0.065    0.000 <__array_function__ internals>:2(sum)
     7840    0.013    0.000    0.069    0.000 schema.py:469(get_attribute)
     1249    0.013    0.000    0.061    0.000 typing.py:603(__init__)
      794    0.013    0.000    0.053    0.000 quantumcircuit.py:137(__init__)
      784    0.013    0.000    0.032    0.000 quantum_pipe.py:133(shannon_entropy)
     8932    0.013    0.000    0.019    0.000 <frozen importlib._bootstrap>:416(parent)
3923/1016    0.013    0.000    0.019    0.000 sre_parse.py:174(getwidth)
     6558    0.013    0.000    0.151    0.000 <frozen importlib._bootstrap_external>:84(_path_is_mode_type)
     9377    0.013    0.000    0.021    0.000 typing.py:590(_is_dunder)
      896    0.013    0.000    0.265    0.000 quantumcircuit.py:524(append)
     3136    0.013    0.000    0.022    0.000 assemble_circuits.py:75(<listcomp>)
    10214    0.013    0.000    0.013    0.000 __init__.py:1614(isEnabledFor)
3283/3280    0.013    0.000    0.404    0.000 <frozen importlib._bootstrap>:576(module_from_spec)
     3065    0.013    0.000    0.023    0.000 <frozen importlib._bootstrap_external>:438(_classify_pyc)
     1568    0.012    0.000    0.028    0.000 fixed_point.py:39(run)
    15974    0.012    0.000    0.012    0.000 {built-in method sys.getrecursionlimit}
     6130    0.012    0.000    0.020    0.000 <frozen importlib._bootstrap_external>:62(_path_split)
      784    0.012    0.000    0.033    0.000 dagcircuit.py:59(__new__)
      784    0.012    0.000    0.035    0.000 thread.py:145(submit)
    10692    0.012    0.000    0.012    0.000 {method 'expandtabs' of 'str' objects}
      830    0.012    0.000    0.077    0.000 decorator.py:162(make)
     7840    0.012    0.000    0.020    0.000 basepasses.py:81(is_transformation_pass)
    15682    0.012    0.000    0.012    0.000 {method 'items' of 'collections.OrderedDict' objects}
      784    0.012    0.000    0.149    0.000 dagcircuit.py:192(add_creg)
    10470    0.012    0.000    0.018    0.000 <frozen importlib._bootstrap>:859(__exit__)
     3920    0.012    0.000    2.037    0.001 dagcircuit.py:735(topological_op_nodes)
        1    0.012    0.012    0.161    0.161 facts.py:136(apply_beta_to_alpha_route)
     3283    0.012    0.000    0.032    0.000 <frozen importlib._bootstrap>:318(__exit__)
     9195    0.012    0.000    0.018    0.000 <frozen importlib._bootstrap_external>:51(_r_long)
     2624    0.012    0.000    0.025    0.000 typing.py:113(_type_check)
      514    0.012    0.000    0.052    0.000 textwrap.py:414(dedent)
      426    0.012    0.000    0.032    0.000 <frozen importlib._bootstrap_external>:1190(_path_hooks)
    10470    0.012    0.000    0.017    0.000 <frozen importlib._bootstrap>:855(__enter__)
      516    0.011    0.000    0.011    0.000 {method 'findall' of 're.Pattern' objects}
      796    0.011    0.000    0.024    0.000 quantumcircuit.py:605(add_register)
      784    0.011    0.000   11.480    0.015 _base.py:408(result)
      784    0.011    0.000    0.011    0.000 quantum_pipe.py:123(<listcomp>)
    19001    0.011    0.000    0.011    0.000 {built-in method posix.fspath}
     2352    0.011    0.000    0.046    0.000 runningpassmanager.py:61(append)
    19576    0.011    0.000    0.011    0.000 {built-in method _imp.acquire_lock}
    19576    0.011    0.000    0.011    0.000 {built-in method _imp.release_lock}
     3865    0.011    0.000    0.384    0.000 re.py:271(_compile)
        5    0.011    0.002    0.011    0.002 synchronize.py:50(__init__)
