filter completed in 15.936100959777832 s
filter completed in 16.478416919708252 s
         15378121 function calls (15376161 primitive calls) in 32.415 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2352    0.005    0.000    0.091    0.000 quantumcircuit.py:424(qubits)
      784    0.005    0.000    0.043    0.000 uuid.py:759(uuid4)
     5488    0.005    0.000    0.005    0.000 runningpassmanager.py:217(__iter__)
     3920    0.005    0.000    0.005    0.000 basepasses.py:66(name)
      784    0.005    0.000    0.016    0.000 fromnumeric.py:73(_wrapreduction)
      393    0.005    0.000    4.232    0.011 threading.py:264(wait)
     1568    0.005    0.000    0.006    0.000 fencedobjs.py:65(__init__)
      785    0.004    0.000    0.007    0.000 copy.py:132(deepcopy)
     2352    0.004    0.000    0.004    0.000 schema.py:1053(_has_processors)
      392    0.004    0.000    0.021    0.000 transpile.py:228(_check_circuits_coupling_map)
      392    0.004    0.000    0.048    0.000 aerbackend.py:86(run)
     2352    0.004    0.000    0.006    0.000 result.py:278(<genexpr>)
      784    0.004    0.000    0.989    0.001 optimize_1q_gates.py:47(run)
      392    0.004    0.000    0.004    0.000 {built-in method builtins.sum}
      784    0.004    0.000    0.004    0.000 uuid.py:266(__str__)
     5492    0.004    0.000    0.004    0.000 {method 'items' of 'dict' objects}
      784    0.004    0.000    0.021    0.000 fromnumeric.py:2092(sum)
      784    0.004    0.000    0.008    0.000 os.py:674(__getitem__)
     1176    0.004    0.000    0.007    0.000 passmanager.py:162(_normalize_passes)
     1176    0.004    0.000    0.012    0.000 passmanager.py:68(append)
      786    0.004    0.000    0.004    0.000 {built-in method numpy.zeros}
      784    0.004    0.000    0.079    0.000 dagcircuit.py:602(depth)
     1176    0.004    0.000    0.198    0.000 base.py:332(to_dict)
      392    0.003    0.000    0.045    0.000 transpile.py:364(_parse_basis_gates)
      392    0.003    0.000    0.006    0.000 assemble.py:302(_parse_circuit_args)
      784    0.003    0.000    0.087    0.000 depth.py:23(run)
     2352    0.003    0.000    0.003    0.000 {method 'intersection_update' of 'set' objects}
      392    0.003    0.000    0.029    0.000 passmanager.py:220(_create_running_passmanager)
      784    0.003    0.000    0.069    0.000 fields.py:559(_serialize)
     1176    0.003    0.000    0.004    0.000 runningpassmanager.py:87(_normalize_flow_controller)
      784    0.003    0.000    0.005    0.000 fencedobjs.py:28(__getattribute__)
     1176    0.003    0.000    0.005    0.000 quantumcircuit.py:171(data)
     1568    0.003    0.000    0.004    0.000 quantumcircuit.py:462(_bit_argument_conversion)
      392    0.003    0.000    0.005    0.000 retworkx_dagcircuit.py:43(__init__)
      784    0.003    0.000    0.004    0.000 fencedobjs.py:32(__getitem__)
      784    0.003    0.000    0.011    0.000 _collections_abc.py:657(get)
      392    0.003    0.000    0.193    0.000 initializer.py:250(initialize)
      393    0.003    0.000    0.003    0.000 threading.py:216(__init__)
      392    0.003    0.000    0.051    0.000 instruction.py:53(__init__)
      392    0.003    0.000    0.004    0.000 transpile.py:250(_log_transpile_time)
      784    0.003    0.000    0.183    0.000 result.py:57(data)
     1960    0.003    0.000    0.003    0.000 fencedobjs.py:24(__init__)
      392    0.003    0.000    0.003    0.000 parametertable.py:27(__init__)
      392    0.002    0.000    0.006    0.000 _base.py:312(__init__)
      392    0.002    0.000    0.005    0.000 transpile.py:377(_parse_coupling_map)
      392    0.002    0.000    0.004    0.000 execute.py:34(_log_submission_time)
      784    0.002    0.000    0.004    0.000 os.py:752(encode)
     1176    0.002    0.000    0.004    0.000 qasm_qobj.py:325(__init__)
      392    0.002    0.000    0.020    0.000 user_config.py:98(get_config)
      392    0.002    0.000    0.069    0.000 quantumcircuit.py:541(<listcomp>)
      392    0.002    0.000    0.020    0.000 aerjob.py:61(submit)
      392    0.002    0.000    0.002    0.000 {method 'put' of '_queue.SimpleQueue' objects}
      784    0.002    0.000    0.009    0.000 retworkx_dagcircuit.py:59(_get_multi_graph_nodes)
      392    0.002    0.000   22.595    0.058 passmanager.py:172(run)
      784    0.002    0.000    0.023    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
     1568    0.002    0.000    0.002    0.000 fencedobjs.py:40(_check_if_fenced)
      392    0.002    0.000    0.003    0.000 aerjob.py:54(__init__)
     1176    0.002    0.000    0.002    0.000 quantumcircuitdata.py:28(__init__)
      392    0.002    0.000    0.004    0.000 runningpassmanager.py:35(__init__)
     1963    0.002    0.000    0.002    0.000 schema.py:410(dict_class)
     1568    0.002    0.000    0.002    0.000 basebackend.py:57(configuration)
      392    0.002    0.000    0.002    0.000 {method 'flatten' of 'numpy.ndarray' objects}
      392    0.002    0.000    0.003    0.000 assemble.py:37(_log_assembly_time)
      784    0.002    0.000    0.006    0.000 level1.py:145(_opt_control)
      784    0.002    0.000    0.003    0.000 initializer.py:240(broadcast_arguments)
      392    0.002    0.000    0.003    0.000 transpile.py:407(_parse_initial_layout)
      392    0.002    0.000    0.002    0.000 dagcircuit.py:67(__init__)
      392    0.002    0.000    0.003    0.000 instructionset.py:43(add)
      392    0.002    0.000    0.003    0.000 transpile.py:397(_parse_backend_properties)
      392    0.002    0.000    0.002    0.000 quantumcircuit.py:212(_increment_instances)
      392    0.002    0.000    0.003    0.000 stochastic_swap.py:52(__init__)
     1176    0.002    0.000    0.002    0.000 runningpassmanager.py:291(__init__)
      392    0.002    0.000    0.002    0.000 dense_layout.py:39(__init__)
      787    0.002    0.000    0.002    0.000 {built-in method from_bytes}
      392    0.002    0.000    0.003    0.000 set_layout.py:28(__init__)
      392    0.002    0.000    0.008    0.000 os.py:770(getenv)
      784    0.002    0.000    0.002    0.000 qasm_qobj.py:251(__init__)
      392    0.001    0.000    0.001    0.000 {method 'astype' of 'numpy.ndarray' objects}
      784    0.001    0.000    0.001    0.000 fromnumeric.py:2087(_sum_dispatcher)
      392    0.001    0.000    4.243    0.011 aerjob.py:37(_wrapper)
      392    0.001    0.000    0.002    0.000 quantumcircuit.py:138(<listcomp>)
      392    0.001    0.000    0.010    0.000 genericpath.py:27(isfile)
      392    0.001    0.000    0.004    0.000 runningpassmanager.py:299(__init__)
      392    0.001    0.000    4.242    0.011 aerjob.py:76(result)
      392    0.001    0.000    0.002    0.000 run_config.py:32(__init__)
      784    0.001    0.000    0.001    0.000 {method 'encode' of 'str' objects}
      784    0.001    0.000    0.003    0.000 assemble.py:339(<genexpr>)
      784    0.001    0.000    0.001    0.000 fromnumeric.py:74(<dictcomp>)
      395    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:416(parent)
      392    0.001    0.000    0.002    0.000 trivial_layout.py:34(__init__)
      392    0.001    0.000    0.002    0.000 layout_2q_distance.py:34(__init__)
      392    0.001    0.000    0.005    0.000 assemble.py:319(_expand_parameters)
      784    0.001    0.000    0.003    0.000 transpile.py:173(<genexpr>)
      392    0.001    0.000    0.002    0.000 full_ancilla_allocation.py:36(__init__)
      392    0.001    0.000    0.002    0.000 fencedobjs.py:58(__init__)
      392    0.001    0.000    0.002    0.000 thread.py:176(_adjust_thread_count)
      392    0.001    0.000    0.002    0.000 unroller.py:29(__init__)
      392    0.001    0.000    0.001    0.000 qasm_qobj.py:387(__init__)
      392    0.001    0.000    0.002    0.000 optimize_1q_gates.py:36(__init__)
      392    0.001    0.000    0.002    0.000 quantumcircuit.py:1397(parameters)
     1568    0.001    0.000    0.001    0.000 {method 'values' of 'dict' objects}
      392    0.001    0.000    0.002    0.000 check_map.py:28(__init__)
     1176    0.001    0.000    0.001    0.000 {method 'pop' of 'dict' objects}
      392    0.001    0.000    0.002    0.000 fixed_point.py:30(__init__)
      392    0.001    0.000    0.001    0.000 passmanager.py:33(__init__)
      784    0.001    0.000    0.001    0.000 quantumcircuit.py:624(<listcomp>)
      392    0.001    0.000    0.002    0.000 check_cx_direction.py:28(__init__)
      392    0.001    0.000    0.002    0.000 cx_direction.py:38(__init__)
      784    0.001    0.000    0.001    0.000 assemble.py:136(<genexpr>)
      392    0.001    0.000    0.003    0.000 runningpassmanager.py:212(__init__)
      392    0.001    0.000    0.002    0.000 quantumcircuit.py:610(<listcomp>)
      392    0.001    0.000    0.199    0.001 remove_reset_in_zero_state.py:24(run)
      392    0.001    0.000    0.001    0.000 {built-in method math.isclose}
      392    0.001    0.000    0.001    0.000 {method '_acquire_restore' of '_thread.RLock' objects}
      784    0.001    0.000    0.001    0.000 {built-in method builtins.max}
      784    0.001    0.000    0.001    0.000 optimize_1q_gates.py:260(_split_runs_on_parameters)
      392    0.001    0.000    0.001    0.000 basejob.py:33(__init__)
      392    0.001    0.000    0.001    0.000 passmanager_config.py:22(__init__)
      784    0.001    0.000    0.001    0.000 {method 'count' of 'list' objects}
      393    0.001    0.000    0.001    0.000 threading.py:243(__exit__)
      393    0.001    0.000    0.001    0.000 threading.py:240(__enter__)
      392    0.001    0.000    0.001    0.000 transpile.py:473(_parse_output_name)
      392    0.001    0.000    0.001    0.000 qasm_qobj.py:176(__init__)
      784    0.001    0.000    0.001    0.000 fields.py:499(schema)
      392    0.001    0.000    0.001    0.000 transpile.py:392(<listcomp>)
      394    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:1009(_handle_fromlist)
      392    0.001    0.000    0.001    0.000 transpile.py:467(_parse_callback)
      392    0.001    0.000    0.001    0.000 instructionset.py:25(__init__)
      392    0.001    0.000    0.001    0.000 transpile.py:431(<listcomp>)
      392    0.001    0.000    0.001    0.000 threading.py:75(RLock)
      392    0.001    0.000    0.001    0.000 {built-in method math.log2}
      784    0.001    0.000    0.001    0.000 transpile.py:230(<genexpr>)
      392    0.001    0.000    0.001    0.000 thread.py:46(__init__)
      392    0.001    0.000    0.001    0.000 transpile.py:437(_parse_layout_method)
      392    0.001    0.000    0.001    0.000 transpile.py:449(_parse_seed_transpiler)
      392    0.001    0.000    0.001    0.000 transpile.py:443(_parse_routing_method)
      392    0.001    0.000    0.001    0.000 transpile.py:455(_parse_optimization_level)
      392    0.001    0.000    0.001    0.000 assemble.py:314(<dictcomp>)
      784    0.001    0.000    0.001    0.000 {method 'values' of 'collections.OrderedDict' objects}
      784    0.001    0.000    0.001    0.000 propertyset.py:22(__missing__)
      392    0.001    0.000    0.001    0.000 {method '_release_save' of '_thread.RLock' objects}
      392    0.001    0.000    0.001    0.000 assemble.py:206(<dictcomp>)
      784    0.001    0.000    0.001    0.000 copy.py:190(_deepcopy_atomic)
      402    0.001    0.000    0.001    0.000 {method 'rpartition' of 'str' objects}
      392    0.001    0.000    0.001    0.000 initializer.py:241(<listcomp>)
      392    0.001    0.000    0.001    0.000 {method '__enter__' of '_thread.RLock' objects}
      392    0.001    0.000    0.001    0.000 _base.py:382(__get_result)
      392    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
      392    0.000    0.000    0.000    0.000 parametertable.py:55(get_keys)
      396    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
      392    0.000    0.000    0.000    0.000 {method 'is_integer' of 'float' objects}
      392    0.000    0.000    0.000    0.000 transpile.py:499(<listcomp>)
      392    0.000    0.000    0.000    0.000 parametertable.py:34(<genexpr>)
      392    0.000    0.000    0.000    0.000 run_config.py:72(to_dict)
      393    0.000    0.000    0.000    0.000 {method 'append' of 'collections.deque' objects}
      393    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
      392    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
      392    0.000    0.000    0.000    0.000 quantumcircuit.py:542(<listcomp>)
      392    0.000    0.000    0.000    0.000 basebackend.py:65(properties)
      392    0.000    0.000    0.000    0.000 {method 'keys' of 'collections.OrderedDict' objects}
      392    0.000    0.000    0.000    0.000 {method '_is_owned' of '_thread.RLock' objects}
        1    0.000    0.000    0.000    0.000 {built-in method _thread.start_new_thread}
      392    0.000    0.000    0.000    0.000 transpile.py:410(_layout_from_raw)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:914(get_data)
        1    0.000    0.000   32.415   32.415 quantum_process.py:37(<listcomp>)
        1    0.000    0.000    0.000    0.000 {method 'read' of '_io.FileIO' objects}
       10    0.000    0.000    0.000    0.000 copyreg.py:96(_slotnames)
        1    0.000    0.000    0.000    0.000 {built-in method marshal.loads}
        2    0.000    0.000    0.000    0.000 {built-in method builtins.print}
        1    0.000    0.000    0.000    0.000 schema.py:364(__init__)
        1    0.000    0.000    0.000    0.000 schema.py:944(_init_fields)
        5    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
        1    0.000    0.000    0.000    0.000 {built-in method builtins.__build_class__}
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:793(get_code)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1356(find_spec)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:58(<listcomp>)
        1    0.000    0.000    0.000    0.000 threading.py:763(__init__)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:56(_path_join)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:271(cache_from_source)
        1    0.000    0.000    0.000    0.000 retworkx_dagcircuit.py:24(<module>)
        1    0.000    0.000    0.001    0.001 threading.py:834(start)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:882(_find_spec)
        2    0.000    0.000    0.000    0.000 fields.py:551(_nested_normalized_option)
        4    0.000    0.000    0.000    0.000 __init__.py:212(_acquireLock)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap>:663(_load_unlocked)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap>:978(_find_and_load)
       10    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
